0	1	2	3	4	5	6	7	8	pred
0.2822222222222222	-0.06	-0.06	-0.06	0.05111111111111111	0.3844444444444445	-0.06	0.06	-0.06	1
-0.06	-0.06	-0.06	0.1711111111111111	-0.06	0.1622222222222222	-0.06	0.06	0.6066666666666665	1
0.9488888888888889	0.4955555555555557	0.8288888888888888	0.05111111111111111	1.06	0.4955555555555556	0.05111111111111111	0.8288888888888888	0.94	1
0.6155555555555556	0.94	0.051111111111110996	0.8377777777777777	1.06	0.05111111111111111	0.6066666666666667	0.7177777777777778	1.06	1
0.05111111111111111	0.1622222222222222	0.2733333333333332	0.3933333333333333	0.1711111111111111	0.3844444444444445	0.05111111111111111	0.5044444444444445	0.06	1
-0.06	-0.0258545633405447	-0.06	-0.06	-0.06	0.06	-0.06	0.1622222222222222	0.0	0
-0.06	-0.0036227796226739883	-0.06	-0.06	0.05111111111111111	0.3844444444444445	-0.06	0.06	-0.06	1
0.1622222222222222	0.1711111111111111	0.06	0.06	-0.009155279025435448	0.06	0.08929412066936493	0.06	0.06	1
0.3844444444444445	0.06	0.06	0.2822222222222222	0.2733333333333333	0.06	0.2377173900604248	0.1711111111111111	-0.06	0
0.837777777777778	0.94	0.7177777777777776	0.8377777777777777	0.3933333333333333	0.7177777777777778	0.7266666666666668	0.6066666666666667	-0.06	1
1.06	0.7177777777777778	0.7177777777777776	0.2733333333333333	1.06	0.94	0.8377777777777777	-0.06	-0.06	1
0.3844444444444445	0.06	0.2822222222222221	0.06	0.05111111111111111	0.06	0.06	0.06	0.06	0
1.06	0.4955555555555557	0.2733333333333332	-0.06	0.2822222222222222	0.2733333333333333	0.1622222222222222	0.05111111111111111	0.1622222222222221	0
0.1622222222222222	1.06	0.7266666666666666	0.8377777777777777	0.5044444444444445	0.7177777777777778	0.7266666666666668	0.2733333333333333	-0.06	1
0.1622222222222222	0.06	0.06	0.06	0.0030146557837724686	0.06	0.06	0.06	0.06	1
0.1622222222222222	0.06	0.171111111111111	0.05111111111111111	0.05111111111111111	0.06	0.06	0.06	0.06	1
