0	1	2	3	pred
6.06	3.06	0.06	1.74	1
4.659999999999999	3.14	-0.06	0.26	0
4.659999999999999	3.04	-0.06	0.26	0
6.76	3.16	0.06	2.34	1
6.46	2.7600000000000002	0.06	1.8399999999999999	1
7.659999999999999	3.06	0.06	2.04	1
6.56	3.06	0.06	2.14	1
5.159999999999999	3.7399999999999998	-0.06	0.46	0
6.359999999999999	3.36	0.06	2.44	1
5.859999999999999	2.7600000000000002	0.06	1.8399999999999999	1
4.96	3.04	-0.06	0.16	0
4.96	3.04	-0.06	0.16	0
4.859999999999999	2.94	-0.06	0.16	0
5.159999999999999	3.2399999999999998	-0.06	0.56	0
6.359999999999999	3.46	0.06	2.34	1
7.76	2.66	0.06	2.2399999999999998	1
5.159999999999999	3.34	-0.06	0.26	0
5.159999999999999	3.64	-0.06	0.46	0
5.56	3.44	-0.06	0.26	0
5.159999999999999	3.7399999999999998	-0.06	0.36	0
6.96	3.16	0.06	2.04	1
5.96	3.06	0.06	1.74	1
5.159999999999999	3.7399999999999998	-0.06	0.26	0
7.96	3.86	0.06	1.94	1
4.859999999999999	3.34	-0.06	0.26	0
7.76	3.06	0.06	2.2399999999999998	1
6.46	3.2600000000000002	0.06	2.2399999999999998	1
4.659999999999999	3.34	-0.06	0.36	0
5.159999999999999	3.44	-0.06	0.26	0
7.76	3.86	0.06	2.14	1
