0	1	2	3	pred
6.12	3.12	0.12	1.6800000000000002	1
4.72	3.08	-0.12	0.32	0
4.72	2.98	-0.12	0.32	0
6.82	3.22	0.12	2.28	1
6.5200000000000005	2.8200000000000003	0.12	1.7799999999999998	1
7.72	3.12	0.12	1.98	1
6.62	3.12	0.12	2.08	1
5.22	3.6799999999999997	-0.12	0.52	0
6.42	3.42	0.12	2.38	1
5.92	2.8200000000000003	0.12	1.7799999999999998	1
5.0200000000000005	2.98	-0.12	0.22	0
5.0200000000000005	2.98	-0.12	0.22	0
4.92	2.88	-0.12	0.22	0
5.22	3.1799999999999997	-0.12	0.62	0
6.42	3.52	0.12	2.28	1
7.82	2.72	0.12	2.1799999999999997	1
5.22	3.28	-0.12	0.32	0
5.22	3.58	-0.12	0.52	0
5.62	3.38	-0.12	0.32	0
5.22	3.6799999999999997	-0.12	0.42	0
7.0200000000000005	3.22	0.12	1.98	1
6.0200000000000005	3.12	0.12	1.6800000000000002	1
5.22	3.6799999999999997	-0.12	0.32	0
8.02	3.92	0.12	1.88	1
4.92	3.28	-0.12	0.32	0
7.82	3.12	0.12	2.1799999999999997	1
6.5200000000000005	3.3200000000000003	0.12	2.1799999999999997	1
4.72	3.28	-0.12	0.42	0
5.22	3.38	-0.12	0.32	0
7.82	3.92	0.12	2.08	1
