0	1	2	3	pred
6.1	3.1	4.7	-0.1	1
4.5	3.3000000000000003	1.5	0.1	0
4.5	3.2	1.6	0.1	0
6.8	3.2	5.5	-0.1	1
6.5	2.8000000000000003	5.2	-0.1	1
7.699999999999999	3.1	6.5	-0.1	1
6.6	3.1	5.7	-0.1	1
5.0	3.9	2.0	0.1	0
6.3999999999999995	3.4	5.9	-0.1	1
5.8999999999999995	2.8000000000000003	5.0	-0.1	1
4.800000000000001	3.2	1.6	0.1	0
4.800000000000001	3.2	1.6	0.1	0
4.7	3.1	1.5	0.1	0
5.0	3.4	1.8	0.1	0
6.3999999999999995	3.5	5.5	-0.1	1
7.8	2.7	6.800000000000001	-0.1	1
5.0	3.5	1.6	0.1	0
5.0	3.8000000000000003	1.6	0.1	0
5.4	3.6	1.4000000000000001	0.1	0
5.0	3.9	1.6	0.1	0
7.0	3.2	5.300000000000001	-0.1	1
6.0	3.1	5.0	-0.1	1
5.0	3.9	1.7000000000000002	0.1	0
8.0	3.9	6.300000000000001	-0.1	1
4.7	3.3	2.0	0.1	0
7.8	3.1	6.0	-0.1	1
6.5	3.3000000000000003	5.2	-0.1	1
4.5	3.5	1.5	0.1	0
5.0	3.6	1.5	0.1	0
7.8	3.9	6.6000000000000005	-0.1	1
